,0,1
0,疫情,264740
1,武汉,229667
2,肺炎,224960
3,展开,216745
4,全文,216276
5,新型,184562
6,冠状病毒,137011
7,我们,129709
8,加油,123246
9,##,117351
10,口罩,115913
11,感染,112794
12,医院,107979
13,确诊,106765
14,中国,101060
15,病例,100246
16,病毒,99095
17,患者,94574
18,没有,90569
19,防控,89573
20,自己,81245
21,一个,81225
22,微博,75482
23,视频,73078
24,可以,69695
25,这个,69277
26,新冠,64804
27,工作,64773
28,链接,64081
29,一起,60989
30,网页,60956
31,大家,60679
32,湖北,58731
33,真的,57658
34,医生,57655
35,就是,57163
36,隔离,53838
37,希望,53808
38,2020,53516
39,今天,53186
40,现在,52990
41,什么,51651
42,致敬,47289
43,不是,45965
44,国家,45122
45,行动,43875
46,他们,43840
47,全国,43834
48,一线,43686
49,医护人员,41863
50,传播,41395
51,抗击,41356
52,已经,40921
53,知道,40756
54,目前,40159
55,健康,39732
56,还是,39698
57,治疗,39506
58,不要,39353
59,一定,38931
60,你们,38291
61,新闻,37718
62,可能,37471
63,新增,36491
64,出院,36226
65,出现,35285
66,开始,35270
67,时间,35003
68,时候,34960
69,治愈,34513
70,发现,34274
71,10,32768
72,发热,32573
73,需要,32501
74,不能,31915
75,因为,31526
76,消毒,31137
77,症状,30857
78,如果,30769
79,生活,30721
80,专家,30692
81,情况,30640
82,人员,30622
83,物资,30296
84,人民,29304
85,防护,29147
86,看到,29125
87,平安,28737
88,还有,28017
89,打卡,27869
90,所有,27319
91,发布,27285
92,医用,27187
93,上班,26967
94,这样,26857
95,社区,26594
96,酒精,26468
97,问题,26358
98,起来,26304
99,检测,26220
100,但是,26190
101,怎么,26162
102,卫健委,26140
103,转发,25977
104,u3000,25957
105,医疗,25712
106,预防,25707
107,进行,25616
108,很多,24922
109,病人,24859
110,钟南山,24841
111,这些,24796
112,不会,24700
113,每天,24108
114,北京,23769
115,咳嗽,23573
116,一下,23506
117,一直,23354
118,在家,23322
119,努力,23096
120,疫苗,22803
121,防疫,22529
122,应该,22464
123,捐赠,22375
124,哈哈哈,22299
125,疾病,22297
126,这么,22207
127,重症,21955
128,出门,21920
129,觉得,21904
130,感谢,21722
131,关注,21536
132,期间,21509
133,24,21473
134,做好,21441
135,武汉市,21416
136,通过,21110
137,所以,21024
138,12,20965
139,复工,20959
140,20,20926
141,抗疫,20810
142,这种,20650
143,上海,20448
144,接触,20314
145,如何,20212
146,2019,20115
147,30,19913
148,企业,19894
149,发烧,19846
150,表示,19596
151,组织,19478
152,研究,19346
153,保护,19180
154,为了,18975
155,院士,18937
156,最新,18833
157,那么,18774
158,关于,18749
159,14,18628
160,今日,18526
161,出来,18481
162,志愿者,18434
163,医疗队,18410
164,为什么,18400
165,累计,18328
166,居家,18275
167,战疫,18228
168,孩子,18178
169,肖战,17938
170,市场,17860
171,感觉,17776
172,有效,17642
173,辛苦,17581
174,非常,17574
175,安全,17433
176,死亡,17307
177,野味,17260
178,支援,17124
179,信息,16851
180,医务人员,16643
181,小时,16610
182,全球,16584
183,朋友,16568
184,这是,16549
185,一天,16512
186,前线,16465
187,注意,16458
188,世界,16443
189,护士,16340
190,传染病,16339
191,中医,16240
192,高速,16208
193,朱一龙,16167
194,措施,16158
195,家里,16153
196,发生,16151
197,日本,15921
198,公司,15851
199,小区,15782
200,活动,15741
201,第一,15730
202,记者,15675
203,回家,15635
204,15,15625
205,战斗,15525
206,事件,15519
207,湖北省,15516
208,传染,15510
209,开学,15491
210,公益,15465
211,直播,15341
212,然后,15336
213,11,15333
214,基层,15325
215,卫生,15299
216,地方,15275
217,要求,15215
218,17,15206
219,丁香,15147
220,公共卫生,15109
221,这次,15090
222,明天,15077
223,救治,14994
224,原因,14969
225,其中,14864
226,疑似,14717
227,空气,14703
228,来自,14669
229,建议,14605
230,感冒,14563
231,一些,14535
232,使用,14355
233,其他,14295
234,结果,14259
235,一样,14248
236,那些,14227
237,打赢,14184
238,祈福,14177
239,喜欢,14150
240,春节,14015
241,报告,14009
242,重要,13963
243,一次,13893
244,特别,13878
245,相关,13874
246,有人,13789
247,只有,13754
248,药物,13577
249,聚集,13555
250,方案,13555
251,奋战,13487
252,主要,13464
253,严重,13442
254,截至,13399
255,防护服,13370
256,驰援,13285
257,蝙蝠,13273
258,传人,13147
259,支持,13104
260,数据,13077
261,家人,12955
262,看看,12904
263,火神,12854
264,之前,12829
265,有点,12818
266,之后,12812
267,生命,12772
268,根据,12770
269,分享,12749
270,政府,12713
271,是否,12703
272,社会,12685
273,最后,12680
274,只是,12680
275,作为,12670
276,一切,12649
277,消息,12620
278,SARS,12607
279,影响,12597
280,美国,12560
281,在线,12536
282,了解,12505
283,几天,12492
284,继续,12467
285,地图,12460
286,正在,12451
287,密切接触,12443
288,相信,12398
289,虽然,12369
290,第一线,12365
291,通知,12322
292,控制,12288
293,老师,12279
294,下午,12208
295,非典,12105
296,其实,12100
297,潜伏期,12092
298,临床,12075
299,体温,12075
300,扩散,11969
301,18,11951
302,开展,11904
303,央视,11777
304,延迟,11765
305,16,11676
306,过去,11651
307,一点,11632
308,联防,11616
309,诊疗,11611
310,实时,11610
311,城市,11606
312,直接,11602
313,封闭,11591
314,接受,11581
315,主任,11564
316,医护,11557
317,结束,11555
318,核酸,11555
319,存在,11533
320,高考,11530
321,联控,11525
322,而且,11515
323,最近,11511
324,阻击战,11496
325,手机,11482
326,坚持,11474
327,发布会,11465
328,正常,11392
329,英雄,11343
330,宝宝,11334
331,回应,11285
332,地球,11277
333,回来,11240
334,每个,11224
335,网上,11221
336,妈妈,11185
337,或者,11122
338,容易,11121
339,身体,11120
340,中心,11120
341,爱心,11114
342,N95,11108
343,中医药,11091
344,同时,11056
345,晚上,11053
346,紧急,11035
347,流感,11003
348,...,10985
349,韩红,10981
350,13,10937
351,下降,10925
352,那个,10915
353,好好,10900
354,世卫,10837
355,身边,10820
356,双黄连,10791
357,可爱,10784
358,多少,10770
359,人群,10762
360,万众一心,10753
361,风险,10698
362,一种,10668
363,评论,10659
364,共同,10612
365,无症状,10612
366,服务,10581
367,这场,10542
368,春运,10514
369,面对,10514
370,抵抗力,10493
371,保障,10476
372,以及,10460
373,工作人员,10424
374,感染者,10414
375,通报,10402
376,查看,10396
377,学校,10368
378,李兰娟,10364
379,突发,10362
380,还要,10359
381,好消息,10319
382,及时,10274
383,一名,10262
384,力量,10254
385,分钟,10249
386,增强,10246
387,科学,10223
388,图片,10113
389,拐点,10064
390,人数,10059
391,导致,10028
392,集中,10024
393,公布,10013
394,白衣天使,9991
395,封城,9989
396,海鲜,9981
397,群众,9968
398,管理,9951
399,应急,9949
400,标准,9948
401,人类,9906
402,回复,9905
403,只能,9898
404,检查,9896
405,紧张,9885
406,进入,9883
407,普通,9878
408,事情,9866
409,东西,9858
410,全部,9840
411,两个,9820
412,不过,9785
413,交叉感染,9785
414,提醒,9750
415,别人,9739
416,是不是,9735
417,收治,9729
418,疑似病例,9727
419,以后,9719
420,野生动物,9712
421,家庭,9701
422,造成,9693
423,试剂盒,9693
424,应对,9646
425,突然,9598
426,近日,9593
427,乏力,9494
428,19,9487
429,必须,9482
430,生产,9459
431,飞沫,9435
432,孝感,9387
433,团队,9343
434,方式,9309
435,读书,9298
436,人民日报,9282
437,成为,9268
438,免费,9261
439,今年,9260
440,昨天,9253
441,帮助,9248
442,比较,9247
443,疾控中心,9238
444,能量,9224
445,个人,9193
446,部门,9189
447,真是,9165
448,启动,9141
449,观察,9128
450,一位,9123
451,神山,9123
452,谢谢,9079
453,华南,9075
454,加强,9067
455,减少,9043
456,众志成城,9031
457,特殊,9018
458,过年,9017
459,对于,9013
460,有关,8991
461,地区,8954
462,这里,8944
463,成功,8900
464,增加,8897
465,得到,8861
466,领导,8859
467,官方,8849
468,少年,8845
469,各种,8828
470,23,8826
471,参与,8821
472,记录,8810
473,行者,8796
474,儿童,8792
475,出行,8789
476,避免,8732
477,担心,8726
478,返程,8724
479,工作者,8718
480,呼吸困难,8713
481,李汶翰,8708
482,报道,8707
483,国际,8696
484,女性,8696
485,时期,8682
486,准备,8682
487,动态,8675
488,期待,8659
489,无法,8654
490,气溶胶,8618
491,不想,8609
492,穿山甲,8605
493,轻症,8604
494,求助,8575
495,22,8562
496,金银,8550
497,21,8533
498,有些,8520
499,河南,8499
500,各地,8496
501,特效药,8478
502,甚至,8467
503,重点,8458
504,乘客,8434
505,一年,8427
506,不明,8410
507,推荐,8396
508,100,8395
509,足不出户,8384
510,疫区,8372
511,响应,8371
512,病情,8363
513,网友,8346
514,到底,8294
515,提供,8260
516,变异,8241
517,发展,8190
518,完成,8181
519,任何,8174
520,全力,8153
521,的话,8138
522,单位,8129
523,终于,8119
524,学生,8110
525,诊断,8097
526,最好,8091
527,部分,8085
528,粉丝,8084
529,25,8073
530,首例,8065
531,净化器,8033
532,新浪,8025
533,实验室,8010
534,市民,8001
535,动物,7991
536,能够,7984
537,当前,7981
538,超级,7974
539,战胜,7966
540,TFBOYS,7947
541,温暖,7939
542,消毒液,7920
543,发病,7912
544,天津,7908
545,永远,7894
546,门诊,7879
547,心理,7879
548,要强,7830
549,之间,7828
550,排查,7819
551,包括,7817
552,决定,7767
553,现场,7754
554,勇战,7723
555,一般,7705
556,才能,7703
557,明显,7695
558,逆行,7691
559,恐慌,7646
560,爆发,7644
561,除了,7640
562,瞒报,7639
563,守护,7631
564,媒体,7624
565,阴谋论,7622
566,只要,7598
567,开心,7581
568,快乐,7581
569,文章,7573
570,指挥部,7564
571,哈哈哈哈,7540
572,专业,7536
573,持续,7528
574,积极,7524
575,31,7489
576,一次性,7482
577,最美,7468
578,28,7463
579,新年,7459
580,27,7439
581,效果,7434
582,控制中心,7432
583,结合,7426
584,最大,7414
585,老人,7393
586,人们,7391
587,金银花,7347
588,告诉,7340
589,作用,7339
590,华晨,7335
591,安排,7307
592,天天,7283
593,针对,7270
594,重庆,7258
595,方法,7245
596,介绍,7242
597,召开,7239
598,不用,7223
599,湖南,7213
600,50,7195
601,呼吸道,7175
602,怎么办,7171
603,能力,7169
604,李文亮,7148
605,几个,7105
606,采取,7098
607,途径,7074
608,不敢,7071
609,可是,7068
610,记得,7057
611,全面,7057
612,测体温,7053
613,基本,7052
614,勤洗手,7036
615,按照,7034
616,深圳,7022
617,感动,7019
618,经过,7016
619,小汤山,7014
620,进一步,7008
621,早日,6997
622,不到,6971
623,呼吸,6926
624,祝福,6924
625,绿色,6921
626,广东,6917
627,援鄂,6898
628,科普,6892
629,40,6877
630,民警,6874
631,自我,6868
632,专家组,6849
633,捐款,6849
634,平台,6841
635,26,6841
636,正式,6830
637,中药,6827
638,网络,6815
639,选择,6811
640,完全,6805
641,不好,6803
642,父母,6803
643,办公,6796
644,每日,6756
645,西安,6755
646,越来越,6734
647,宣传,6732
648,确认,6731
649,29,6728
650,外出,6711
651,参加,6707
652,今晚,6696
653,王俊凯,6686
654,成都,6660
655,一只,6651
656,联合,6634
657,认为,6629
658,一级,6629
659,项目,6625
660,方舱,6587
661,居民,6580
662,上午,6549
663,研发,6549
664,就诊,6548
665,引起,6535
666,害怕,6519
667,如此,6516
668,果子狸,6514
669,状态,6461
670,机制,6459
671,第一次,6456
672,山东,6456
673,干咳,6448
674,以来,6418
675,病房,6415
676,病死率,6413
677,附属,6413
678,日常,6404
679,不同,6402
680,管控,6394
681,国内,6388
682,白衣战士,6388
683,以上,6385
684,由于,6383
685,交警,6380
686,肯定,6378
687,生物,6378
688,趋势,6377
689,广州,6376
690,处理,6372
691,王一博,6345
692,两天,6340
693,调整,6324
694,康复,6324
695,领券,6290
696,易感,6265
697,承诺,6253
698,左右,6251
699,一场,6240
700,男子,6230
701,本来,6208
702,运动,6205
703,刚刚,6148
704,宠物,6141
705,限时,6127
706,有没有,6107
707,不了,6106
708,重大,6097
709,意义,6090
710,快递,6078
711,环境,6071
712,保持,6069
713,出去,6025
714,未来,6018
715,连续,6016
716,香港,6006
717,计划,5969
718,好像,5960
719,可怕,5947
720,干部,5941
721,浙江,5939
722,蒙牛,5931
723,归来,5907
724,收到,5905
725,江苏,5890
726,元券,5885
727,阴性,5880
728,通告,5875
729,日子,5869
730,高福,5868
731,提高,5860
732,同事,5854
733,外科,5851
734,提示,5850
735,建设,5844
736,办法,5841
737,专享,5834
738,坚决,5833
739,再次,5822
740,以为,5812
741,啊啊啊,5778
742,瑞德,5777
743,理解,5773
744,电影,5770
745,西韦,5757
746,当地,5745
747,训诫,5744
748,负责,5738
749,真正,5737
750,宣布,5736
751,过程,5731
752,确实,5727
753,离开,5717
754,伟大,5716
755,当时,5712
756,超市,5710
757,去世,5706
758,早上,5692
759,加入,5691
760,音乐,5687
761,DAYTOY,5683
762,中央,5673
763,精神,5672
764,值得,5659
765,近期,5649
766,故事,5645
767,车辆,5644
768,达到,5643
769,看着,5640
770,主动,5639
771,江西,5639
772,显示,5621
773,心里,5618
774,防治,5609
775,哪里,5606
776,而是,5603
777,祖国,5602
778,照顾,5597
779,唯一,5592
780,重视,5590
781,山西,5590
782,大量,5583
783,带来,5567
784,头条,5562
785,洗手,5548
786,徐坤,5543
787,经济,5542
788,通道,5527
789,采访,5525
790,四川,5525
791,谣言,5523
792,电话,5522
793,75%,5516
794,一家,5505
795,人生,5497
796,超过,5485
797,黄冈,5476
798,用于,5465
799,防止,5455
800,全市,5447
801,教授,5445
802,西藏,5440
803,举行,5428
804,免疫力,5424
805,大学,5418
806,保卫,5405
807,危险,5396
808,配合,5391
809,街道,5389
810,先生,5387
811,不管,5385
812,提前,5366
813,厉害,5361
814,一份,5360
815,基建,5346
816,明白,5344
817,团肖战,5329
818,关系,5325
819,床位,5322
820,快速,5314
821,机场,5295
822,救助,5293
823,所有人,5292
824,人家,5290
825,抗病毒,5284
826,传染性,5258
827,nCoV,5254
828,产品,5239
829,同学,5235
830,方面,5220
831,李易峰,5220
832,医学,5214
833,一句,5210
834,过滤,5207
835,教育,5205
836,调查,5200
837,确定,5191
838,系统,5169
839,简单,5158
840,吃饭,5156
841,不够,5155
842,就要,5153
843,休息,5125
844,全民,5117
845,赶紧,5103
846,微信,5098
847,是因为,5098
848,书记,5085
849,里面,5084
850,幸福,5079
851,第二,5076
852,责任,5074
853,助力,5074
854,院长,5072
855,通风,5071
856,必要,5064
857,云南,5058
858,细菌,5055
859,我市,5052
860,研究所,5048
861,更新,5038
862,负压,5038
863,正确,5035
864,网易,5023
865,首批,5019
866,解决,5014
867,以前,5013
868,稳定,5004
869,行为,4999
870,恢复,4990
871,收费站,4990
872,缓解,4981
873,同行,4973
874,原来,4962
875,产生,4961
876,狂魔,4956
877,警方,4946
878,情绪,4943
879,张艺兴,4943
880,顺利,4938
881,假期,4937
882,联系,4932
883,资源,4929
884,哪些,4927
885,杀菌,4923
886,确保,4920
887,病毒性,4917
888,做到,4915
889,坚守,4913
890,哥哥,4906
891,市长,4901
892,每次,4900
893,知识,4899
894,问诊,4899
895,前行,4865
896,援助,4861
897,公众,4858
898,整个,4856
899,尤其,4852
900,论文,4848
901,依然,4846
902,爸爸,4824
903,蔓延,4823
904,晚安,4821
905,睡觉,4813
906,市委书记,4809
907,甘肃,4805
908,500,4800
909,全省,4796
910,明确,4794
911,不断,4791
912,航班,4788
913,身体健康,4786
914,60,4767
915,不少,4746
916,销售,4746
917,面前,4743
918,来源,4713
919,三个,4703
920,公告,4700
921,皮肤,4699
922,科技,4687
923,大陆,4686
924,住院,4685
925,距离,4684
926,速度,4680
927,估计,4678
928,各位,4676
929,公安,4672
930,说明,4668
931,辟谣,4668
932,压力,4664
933,平平安安,4663
934,表现,4657
935,来看,4653
936,千玺,4637
937,更好,4625
938,此次,4623
939,联盟,4617
940,杭州,4615
941,尽量,4612
942,严格,4610
943,自然,4605
944,实行,4605
945,中西医,4603
946,发表,4596
947,医疗机构,4590
948,平时,4589
949,技术,4581
950,旅行,4577
951,落实,4577
952,春晚,4576
953,路上,4569
954,找到,4553
955,好多,4553
956,部署,4551
957,付出,4551
958,少女,4550
959,日记,4549
960,怀疑,4543
961,集团,4542
962,属于,4539
963,呼吁,4539
964,阳性,4536
965,心情,4532
966,高峰,4524
967,来说,4523
968,快点,4521
969,旅客,4511
970,买不到,4505
971,公共,4498
972,总是,4497
973,不让,4482
974,某某,4471
975,关键,4458
976,真实,4456
977,已有,4442
978,无论,4437
979,购买,4431
980,陕西,4427
981,佩戴,4422
982,降低,4422
983,北京市,4419
984,配图,4401
985,不行,4400
986,开启,4399
987,天气,4397
988,愿意,4395
989,爆料,4381
990,捐助,4371
991,遇到,4358
992,点赞,4351
993,柳叶刀,4346
994,生病,4345
995,00,4338
996,儿子,4331
997,自身,4327
998,辖区,4324
999,医学观察,4323
1000,宝贝,4319
1001,救护车,4317
1002,公主,4314
1003,高速公路,4313
1004,海南,4309
1005,排除,4306
1006,拒绝,4304
1007,居然,4303
1008,经历,4297
1009,出发,4297
1010,马上,4296
1011,声音,4296
1012,解除,4295
1013,泰国,4295
1014,聚餐,4288
1015,凌晨,4284
1016,根本,4283
1017,方向,4280
1018,出征,4280
1019,实施,4275
1020,办公室,4271
1021,考虑,4271
1022,指导,4262
1023,取消,4261
1024,眼睛,4253
1025,证据,4252
1026,就算,4248
1027,乘坐,4246
1028,药店,4244
1029,实在,4240
1030,指南,4238
1031,会议,4237
1032,录制,4236
1033,并且,4234
1034,防范,4233
1035,痊愈,4233
1036,队员,4232
1037,不错,4229
1038,手套,4226
1039,广大,4223
1040,规定,4218
1041,南昌,4215
1042,政策,4210
1043,抑制,4204
1044,登记,4203
1045,广西,4199
1046,立即,4198
1047,就医,4194
1048,至少,4192
1049,交通,4184
1050,垃圾,4184
1051,刘诗,4182
1052,变成,4178
1053,不仅,4177
1054,之一,4166
1055,环保,4153
1056,代表,4151
1057,具有,4149
1058,普通人,4131
1059,必备,4129
1060,想要,4119
1061,预计,4117
1062,随着,4115
1063,身上,4113
1064,男性,4110
1065,难受,4109
1066,放弃,4109
1067,国务院,4104
1068,安徽,4100
1069,清洁,4091
1070,美好,4090
1071,抗体,4082
1072,血浆,4082
1073,价格,4079
1074,尽快,4071
1075,另外,4071
1076,延长,4069
1077,抢救,4062
1078,举报,4060
1079,分析,4058
1080,嘉羿,4055
1081,范围,4050
1082,条件,4042
1083,清楚,4037
1084,营养,4029
1085,日晚,4027
1086,以下,4024
1087,传播者,4023
1088,司机,4023
1089,护目镜,4019
1090,试行,4013
1091,家长,4010
1092,证明,4004
1093,如下,4001
1094,不得,3998
1095,到来,3991
1096,首次,3988
1097,贵州,3986
1098,想到,3984
1099,钻石,3979
1100,万人,3977
1101,眼镜,3976
1102,她们,3975
1103,姐姐,3970
1104,同胞,3968
1105,机构,3967
1106,两次,3966
1107,回答,3965
1108,品牌,3965
1109,历史,3964
1110,更加,3964
1111,善良,3952
1112,跟着,3951
1113,样子,3944
1114,区域,3942
1115,南京,3939
1116,场所,3935
1117,腾讯,3928
1118,前往,3925
1119,我要,3921
1120,二次,3921
1121,回到,3921
1122,文化,3913
1123,名字,3910
1124,世界卫生组织,3909
1125,提出,3908
1126,价值,3907
1127,造谣,3901
1128,抵达,3899
1129,辽宁,3898
1130,细胞,3897
1131,我国,3892
1132,心疼,3891
1133,隐瞒,3890
1134,围观,3889
1135,委员会,3887
1136,女儿,3884
1137,一条,3875
1138,后来,3875
1139,人口,3874
1140,员工,3873
1141,时刻,3871
1142,热点,3870
1143,感受,3866
1144,流行,3865
1145,1000,3864
1146,贡献,3864
1147,母亲,3859
1148,河北,3858
1149,保证,3856
1150,很大,3855
1151,春天,3847
1152,看见,3829
1153,毕竟,3828
1154,认识,3823
1155,省份,3815
1156,教学,3815
1157,进展,3813
1158,家属,3813
1159,全世界,3813
1160,关心,3813
1161,临时,3811
1162,判断,3806
1163,第一个,3803
1164,引发,3801
1165,焦虑,3793
1166,变化,3789
1167,内容,3787
1168,发起,3781
1169,比如,3780
1170,传染源,3777
1171,实验,3777
1172,流行病学,3776
1173,认真,3775
1174,大王,3774
1175,怎样,3772
1176,党员,3771
1177,定点医院,3769
1178,高铁,3766
1179,太难,3760
1180,方便,3754
1181,超话,3752
1182,我家,3745
1183,处于,3744
1184,第一天,3743
1185,旅游,3736
1186,需求,3720
1187,适合,3717
1188,即将,3715
1189,飞机,3711
1190,机会,3709
1191,年前,3701
1192,酒店,3700
1193,听到,3698
1194,千万,3695
1195,搞笑,3694
1196,警察,3692
1197,明星,3689
1198,青年,3689
1199,一例,3684
1200,工作室,3679
1201,基础,3676
1202,寻找,3674
1203,宁夏,3674
1204,获悉,3672
1205,时代,3669
1206,困难,3667
1207,中医药大学,3656
1208,过来,3655
1209,难过,3649
1210,具体,3647
1211,大概,3641
1212,一群,3636
1213,家乡,3635
1214,哈哈,3634
1215,意识,3630
1216,没事,3629
1217,朋友圈,3627
1218,组长,3626
1219,人体,3617
1220,组成员,3608
1221,即使,3605
1222,早点,3594
1223,陶勇,3593
1224,公开,3591
1225,有个,3586
1226,官微,3578
1227,那种,3572
1228,剃光头,3569
1229,迅速,3553
1230,感恩,3550
1231,获得,3540
1232,家中,3539
1233,江南,3533
1234,工资,3526
1235,医务,3526
1236,拥有,3525
1237,符合,3523
1238,数字,3519
1239,一边,3517
1240,功能,3513
1241,长沙,3507
1242,许多,3498
1243,免疫,3494
1244,当然,3489
1245,紧缺,3486
1246,入院,3486
1247,粪便,3467
1248,几乎,3463
1249,女孩,3463
1250,最终,3458
1251,案例,3456
1252,竟然,3455
1253,他人,3453
1254,反应,3447
1255,挑战,3446
1256,感到,3445
1257,RNA,3445
1258,妻子,3441
1259,经常,3438
1260,阳光,3435
1261,偶像,3424
1262,一批,3419
1263,程度,3419
1264,任务,3419
1265,采购,3419
1266,说话,3418
1267,设计,3417
1268,还会,3414
1269,这位,3413
1270,权威,3412
